#date	dose_E(mGy/day)	dose_B(mGy/day)
2022-02-15 11:12:14.220497	3.13E-001	2.28E-001
2022-02-15 11:18:48.224216	3.02E-001	3.01E-001
2022-02-15 11:35:53.233890	3.05E-001	3.06E-001
2022-02-15 11:52:59.243573	3.06E-001	2.69E-001
2022-02-15 12:10:05.253256	2.98E-001	2.66E-001
2022-02-15 12:27:11.262940	2.98E-001	2.85E-001
2022-02-15 12:44:17.272623	2.95E-001	2.82E-001
2022-02-15 13:01:23.282307	2.98E-001	2.77E-001
2022-02-15 13:18:29.291990	3.02E-001	2.97E-001
2022-02-15 13:35:35.301673	2.99E-001	2.63E-001
2022-02-15 13:52:41.311357	3.01E-001	2.74E-001
2022-02-15 14:09:47.321040	3.03E-001	2.80E-001
2022-02-15 14:26:53.330723	2.97E-001	2.84E-001
2022-02-15 14:43:59.340407	2.99E-001	2.70E-001
2022-02-15 15:01:05.350090	2.99E-001	2.81E-001
2022-02-15 15:18:11.359774	2.98E-001	2.89E-001
2022-02-15 15:35:17.369457	2.99E-001	2.91E-001
2022-02-15 15:52:23.379140	2.96E-001	2.93E-001
2022-02-15 16:09:29.388824	2.96E-001	2.67E-001
2022-02-15 16:26:35.398507	2.98E-001	2.68E-001
2022-02-15 16:43:41.408191	2.89E-001	2.79E-001
2022-02-15 17:00:47.417874	2.97E-001	2.64E-001
2022-02-15 17:17:53.427557	2.93E-001	2.84E-001
2022-02-15 17:34:59.437241	2.95E-001	2.77E-001
2022-02-15 17:52:05.446924	2.95E-001	2.75E-001
2022-02-15 18:09:11.456608	2.96E-001	2.96E-001
2022-02-15 18:26:17.466291	2.93E-001	2.76E-001
2022-02-15 18:43:23.475974	2.93E-001	2.63E-001
2022-02-15 19:00:29.485658	2.93E-001	2.63E-001
2022-02-15 19:17:35.495341	2.94E-001	2.90E-001
2022-02-15 19:34:41.505024	2.94E-001	2.74E-001
2022-02-15 19:51:47.514708	2.96E-001	2.94E-001
2022-02-15 20:08:53.524391	3.00E-001	2.82E-001
2022-02-15 20:25:25.533754	2.77E-001	3.04E-001
2022-02-15 20:30:23.536566	2.95E-001	2.99E-001
2022-02-15 20:47:28.546240	2.91E-001	2.94E-001
2022-02-15 21:04:34.555924	2.94E-001	2.65E-001
2022-02-15 21:21:40.565607	2.93E-001	2.92E-001
2022-02-15 21:34:02.572610	2.96E-001	2.63E-001
2022-02-15 21:51:07.582284	2.93E-001	2.90E-001
2022-02-15 22:08:13.591967	2.97E-001	2.69E-001
2022-02-15 22:25:19.601651	2.97E-001	2.79E-001
2022-02-15 22:42:25.611334	3.25E-001	2.81E-001
2022-02-15 22:59:31.621018	4.57E-001	3.92E-001
2022-02-15 23:16:39.630720	5.81E-001	5.31E-001
2022-02-15 23:25:47.635892	6.61E-001	6.01E-001
2022-02-15 23:34:55.641064	7.22E-001	6.54E-001
2022-02-15 23:44:03.646236	7.60E-001	7.37E-001
2022-02-15 23:53:11.651408	7.88E-001	7.82E-001
2022-02-16 00:02:19.656580	7.87E-001	7.39E-001
2022-02-16 00:11:27.661752	7.33E-001	6.70E-001
2022-02-16 00:20:35.666924	6.91E-001	6.02E-001
2022-02-16 00:29:43.672096	7.68E-001	6.92E-001
2022-02-16 00:38:51.677268	7.92E-001	7.66E-001
2022-02-16 00:47:58.682431	8.01E-001	7.88E-001
2022-02-16 00:57:06.687603	7.55E-001	7.42E-001
2022-02-16 01:06:14.692775	7.52E-001	6.97E-001
2022-02-16 01:15:22.697947	7.33E-001	6.74E-001
2022-02-16 01:24:30.703119	8.01E-001	7.87E-001
2022-02-16 01:33:38.708291	8.61E-001	8.76E-001
2022-02-16 01:42:46.713463	8.75E-001	8.06E-001
2022-02-16 01:51:54.718635	8.84E-001	8.58E-001
2022-02-16 02:01:02.723807	8.87E-001	8.81E-001
2022-02-16 02:10:10.728979	9.33E-001	9.70E-001
2022-02-16 02:19:18.734151	9.31E-001	9.74E-001
2022-02-16 02:28:26.739323	9.37E-001	9.51E-001
2022-02-16 02:36:44.744023	9.67E-001	9.89E-001
2022-02-16 02:45:49.749167	9.97E-001	1.03E+000
2022-02-16 02:54:55.754320	1.01E+000	1.02E+000
2022-02-16 03:04:01.759473	1.00E+000	9.45E-001
2022-02-16 03:13:07.764626	9.31E-001	9.83E-001
2022-02-16 03:22:12.769770	8.81E-001	9.30E-001
2022-02-16 03:31:17.774914	9.27E-001	9.32E-001
2022-02-16 03:40:23.780067	9.22E-001	1.02E+000
2022-02-16 03:49:29.785220	9.68E-001	9.93E-001
2022-02-16 03:58:34.790364	9.88E-001	9.70E-001
2022-02-16 04:07:39.795507	9.87E-001	1.01E+000
2022-02-16 04:16:45.800660	9.96E-001	1.04E+000
2022-02-16 04:25:51.805814	9.65E-001	1.03E+000
2022-02-16 04:34:57.810967	9.35E-001	1.02E+000
2022-02-16 04:44:02.816110	9.23E-001	9.63E-001
2022-02-16 04:53:08.821264	9.17E-001	9.92E-001
2022-02-16 05:02:13.826407	9.16E-001	9.04E-001
2022-02-16 05:11:18.831551	8.94E-001	9.16E-001
2022-02-16 05:20:23.836695	9.18E-001	9.31E-001
2022-02-16 05:29:29.841848	9.52E-001	1.03E+000
2022-02-16 05:38:34.846992	9.62E-001	1.00E+000
2022-02-16 05:47:39.852135	9.80E-001	1.02E+000
2022-02-16 05:56:47.857307	9.61E-001	1.07E+000
2022-02-16 06:05:55.862479	9.22E-001	1.02E+000
2022-02-16 06:15:03.867651	9.04E-001	9.56E-001
2022-02-16 06:24:11.872823	8.94E-001	9.23E-001
2022-02-16 06:33:19.877995	8.70E-001	8.78E-001
2022-02-16 06:42:27.883167	8.83E-001	9.38E-001
2022-02-16 06:51:35.888339	8.91E-001	9.24E-001
2022-02-16 07:00:43.893511	8.76E-001	9.14E-001
2022-02-16 07:09:51.898683	8.71E-001	9.95E-001
2022-02-16 07:18:59.903855	8.68E-001	9.47E-001
2022-02-16 07:27:37.908744	8.60E-001	9.21E-001
2022-02-16 07:36:42.913888	8.06E-001	8.75E-001
2022-02-16 07:45:47.919032	7.64E-001	7.93E-001
2022-02-16 07:54:52.924176	7.60E-001	7.84E-001
2022-02-16 08:03:57.929319	7.66E-001	8.00E-001
2022-02-16 08:13:02.934463	7.44E-001	8.22E-001
2022-02-16 08:22:07.939607	7.30E-001	7.59E-001
2022-02-16 08:31:12.944750	6.99E-001	7.74E-001
2022-02-16 08:40:17.949894	7.18E-001	7.75E-001
2022-02-16 08:49:22.955038	6.93E-001	7.46E-001
2022-02-16 08:58:27.960181	6.67E-001	6.94E-001
2022-02-16 09:07:34.965344	6.64E-001	6.79E-001
2022-02-16 09:16:39.970488	6.46E-001	7.21E-001
2022-02-16 09:25:44.975631	6.41E-001	6.62E-001
2022-02-16 09:34:49.980775	6.19E-001	6.65E-001
2022-02-16 09:43:57.985947	6.10E-001	5.93E-001
2022-02-16 09:53:05.991119	6.05E-001	6.69E-001
2022-02-16 10:02:13.996291	6.09E-001	6.96E-001
2022-02-16 10:11:22.001463	6.10E-001	6.53E-001
2022-02-16 10:20:30.006635	6.10E-001	6.07E-001
2022-02-16 10:29:38.011807	6.18E-001	6.40E-001
2022-02-16 10:38:27.016800	6.25E-001	6.35E-001
2022-02-16 10:54:24.025832	6.26E-001	6.55E-001
2022-02-16 11:03:29.030976	6.07E-001	6.51E-001
2022-02-16 11:12:35.036129	5.98E-001	6.11E-001
2022-02-16 11:21:40.041273	5.66E-001	6.27E-001
2022-02-16 11:30:45.046416	5.59E-001	6.11E-001
2022-02-16 11:39:53.051589	5.61E-001	5.99E-001
2022-02-16 11:49:01.056761	5.49E-001	5.78E-001
2022-02-16 11:58:09.061933	5.48E-001	5.89E-001
2022-02-16 12:07:07.067010	5.25E-001	5.18E-001
2022-02-16 12:16:15.072182	5.09E-001	5.37E-001
2022-02-16 12:25:23.077354	4.98E-001	5.42E-001
2022-02-16 12:34:30.082517	4.95E-001	5.36E-001
2022-02-16 12:43:38.087689	4.93E-001	5.20E-001
2022-02-16 12:52:46.092861	4.75E-001	5.04E-001
2022-02-16 13:01:39.097891	5.06E-001	4.69E-001
2022-02-16 13:10:44.103035	4.82E-001	4.67E-001
2022-02-16 13:19:52.108207	4.76E-001	4.66E-001
2022-02-16 13:28:58.113360	4.73E-001	4.90E-001
