second,pFlux_2.00MeV--2.60MeV,pFlux_2.60MeV--3.30MeV,pFlux_3.30MeV--4.20MeV,pFlux_4.20MeV--5.30MeV,pFlux_5.30MeV--6.80MeV,pFlux_6.80MeV--8.70MeV,pFlux_8.70MeV--11.10MeV,pFlux_11.10MeV--14.10MeV,pFlux_14.10MeV--18.10MeV,pFlux_18.10MeV--23.10MeV,pFlux_23.10MeV--29.40MeV,pFlux_29.40MeV--37.60MeV,pFlux_37.60MeV--48.00MeV,pFlux_48.00MeV--61.30MeV,pFlux_61.30MeV--78.30MeV,pFlux_78.30MeV--100.00MeV,aFlux_4.00MeV--5.33MeVaFlux_5.33MeV--7.11MeVaFlux_7.11MeV--9.48MeVaFlux_9.48MeV--12.65MeVaFlux_12.65MeV--16.87MeVaFlux_16.87MeV--22.49MeVaFlux_22.49MeV--29.99MeVaFlux_29.99MeV--40.00MeVaFlux_40.00MeV--53.34MeVaFlux_53.34MeV--71.13MeVaFlux_71.13MeV--94.85MeVaFlux_94.85MeV--126.49MeVaFlux_126.49MeV--168.68MeVaFlux_168.68MeV--224.94MeVaFlux_224.94MeV--299.96MeVaFlux_299.96MeV--400.00MeV,,,,,,,,,,,,,,,
193391400,37.8056,22.26535,34.74995,53.79164,29.00717,52.01411,62.12712,48.69344,41.19494,21.97146,13.0886,8.65798,3.79323,1.40179,0.64297,0.25957,0,1.44559,0,0,0.42275,0,2.18344,0.24549,0,0,0.08254,0.02068,0,0.00317,0.00251,0
193392600,16.27611,41.33834,17.50389,41.44834,26.22522,53.4948,55.46077,54.48717,38.06671,22.66119,11.65747,8.38675,3.67439,1.43078,0.7118,0.29561,0,0,0,1.55722,0.81902,0,0,0,0.08818,0,0,0.06009,0,0.00307,0.00243,0
193393800,38.25559,45.62399,35.44488,42.30844,18.49203,37.42807,54.36113,45.11031,35.04854,16.84268,10.15996,9.13817,3.62203,1.38801,0.61344,0.26195,0,0,0,0,0.38501,0,0,0,0,0.19179,0.07517,0.05649,0.00986,0.00577,0.00343,0.00075
193763744,4.30739,3.5125,0.87712,1.44647,0.83895,0.1013,0.19218,0.09933,0.10689,0.01247,0,0.01357,0.00363,0.00074,0.0004,0.00028,0,0,0.16913,0,0.06669,0,0,0,0,0,0,0,0,0,0,0
193764944,14.70274,10.37402,3.72786,4.1679,1.88993,0.49623,0.33224,0.3053,0.20943,0.06467,0.02795,0.01564,0.00941,0.00385,0.00186,0.0008,0.17812,0.32856,0.19493,0.03654,0.01922,0.02977,0.04963,0,0.00414,0.00479,0,0.00094,0,0.00029,0.00006,0.00004
193766144,22.76286,14.40369,7.98774,6.10101,2.48576,0.38844,0.36844,0.35972,0.13662,0.04781,0.03985,0.02023,0.00579,0.00142,0.00103,0.00159,0.4609,0.43722,0.27021,0.16207,0.02131,0.03301,0,0,0,0,0,0,0,0,0,0
193767344,25.79274,16.26236,8.19074,5.02461,2.63335,0.44517,0.48257,0.24943,0.14762,0.03131,0.01305,0.01704,0.01025,0.00326,0.00227,0.00139,0.45275,0.4295,0.26544,0.11941,0.04187,0.04864,0,0.00608,0,0,0,0,0,0,0.00006,0.00008
193768544,22.42593,11.60126,6.68541,6.17398,2.83679,0.24708,0.93744,0.26246,0.15642,0.05322,0.02535,0.02758,0.00995,0.00362,0.00172,0.00152,0.31411,0.27811,0.36094,0.07732,0.04067,0.0315,0,0,0,0,0,0.00099,0,0.0003,0.00006,0.00004
193769744,23.1878,14.03891,8.13593,5.64315,2.3006,0.5806,0.46376,0.31961,0.12897,0.02257,0.0209,0.02456,0.00656,0.00358,0.00121,0.002,0.4351,0.55033,0.3061,0.11475,0.02012,0.01558,0,0,0,0,0,0,0,0,0,0
193770944,23.02427,15.21077,8.0163,7.1088,3.17986,0.73455,0.40643,0.30011,0.11626,0.05274,0.03349,0.01093,0.00767,0.00448,0.00243,0.00134,0.49804,0.2756,0.25549,0.34479,0.02015,0,0,0.00585,0,0,0,0,0.00052,0.00015,0.00006,0
193772144,20.66278,13.47711,8.75439,6.57566,3.20043,0.50185,0.81203,0.23157,0.11213,0.05087,0.01615,0.02372,0.01163,0.00606,0.0007,0.00113,0.60047,0.33228,0.19714,0.14781,0.03887,0.0301,0.05019,0,0.00419,0,0,0.00095,0,0,0.00006,0
193773344,23.44689,14.61626,7.69607,6.71385,2.43737,0.78046,0.4661,0.32123,0.1098,0.05692,0.02768,0.01549,0.01449,0.00635,0.00345,0.00221,0.23518,0.65072,0.48259,0.18091,0.01903,0,0.04914,0,0,0,0,0,0,0,0,0.00004
193774544,22.31054,15.42121,7.72241,6.41169,3.2231,0.39957,0.43314,0.24254,0.20478,0.07025,0.03514,0.01784,0.01226,0.00544,0.00386,0.00249,0.34832,0.514,0.2859,0.07145,0.03758,0.0291,0,0.00546,0,0,0,0,0,0.00014,0.00006,0
193775744,26.1993,15.48601,8.764,6.70997,2.89469,0.69907,0.49731,0.32369,0.22128,0.09321,0.03586,0.01561,0.00939,0.00597,0.00162,0.00223,0.35549,0.39343,0.24315,0.3646,0,0.04455,0,0.00557,0,0,0.00187,0,0,0.00029,0,0
193776944,26.22458,18.08373,8.24078,7.19306,3.1702,0.40378,0.60184,0.26395,0.14607,0.07099,0.03945,0.02575,0.01549,0.00676,0.00344,0.00189,0.64532,0.45449,0.33706,0.18051,0.01899,0.02941,0,0,0,0,0,0,0,0,0.00006,0
193778144,21.50225,16.97461,7.62987,6.87043,3.03284,0.61545,0.39802,0.31088,0.15349,0.06886,0.03061,0.02748,0.00501,0.00656,0.00267,0.00168,0.22761,0.56679,0.51375,0.07003,0.03683,0,0.09512,0,0,0,0,0,0,0,0,0
193779344,20.49626,12.83213,5.36684,5.5502,2.74867,0.51767,0.56855,0.30278,0.12649,0.03353,0.04845,0.0146,0.00975,0.00439,0.00346,0.00134,0.22168,0.24534,0.27292,0.17052,0.03587,0.01389,0.04632,0,0,0.00447,0,0.00088,0,0,0,0.00003
193780544,23.58583,16.22292,6.73904,5.01529,2.64439,0.45236,0.37859,0.38268,0.1123,0.03275,0.04004,0.02376,0.01238,0.00585,0.00402,0.00218,0.16238,0.1198,0.31097,0.26646,0.03504,0,0,0,0,0,0,0,0,0.00013,0,0
193781744,27.36797,15.80261,8.89247,6.81352,3.41545,0.45366,0.54983,0.41188,0.14892,0.06824,0.02069,0.0135,0.00632,0.00591,0.002,0.00234,0.46138,0.68085,0.33662,0.22083,0.03318,0.01285,0,0,0,0,0,0,0.00042,0,0,0
193782944,25.53017,18.02763,9.08017,7.12695,2.59848,0.74339,0.65475,0.22562,0.2017,0.05228,0.04721,0.01422,0.01046,0.00311,0.00422,0.00131,0.81005,0.41838,0.39893,0.16616,0.03496,0.04061,0,0,0,0,0,0,0,0,0,0
